Rank	Club	Revenue (€m)
1	Real Madrid	1045.5
2	Manchester City	837.8
3	Paris Saint-Germain	805.9
4	Manchester United	770.6
5	Bayern Munich	765.4
6	FC Barcelona	760.3
7	Arsenal FC	716.5
8	Liverpool FC	714.7
9	Tottenham Hotspur	615
10	Chelsea FC	545.5
11	Borussia Dortmund	513.7
12	Atlético de Madrid	409.5
13	AC Milan	397.6
14	Inter Milan	391
15	Newcastle United	371.8
16	Juventus FC	355.7
17	West Ham United	322.2
18	Aston Villa	310.2
19	Olympique Marseille	287
20	Olympique Lyon	264.1
21	Brighton & Hove Albion	256.8
22	SSC Napoli	253.6
23	AS Roma	249
24	Eintracht Frankfurt	245.2
25	SL Benfica	224
26	Crystal Palace	218.9
27	Everton FC	217.6
28	Fulham FC	212.2
29	Wolverhampton Wanderers	206.9
30	CR Flamengo	198.2
