club_name,league,squad_size,avg_age,share_of_market_value,total_market_value_million_eur,avg_player_market_value_million_eur
Manchester City,Premier League,28,26.7,85.7,1310.0,46.61
Real Madrid,LaLiga,24,27.0,97.6,1270.0,53.0
Arsenal FC,Premier League,24,26.8,91.8,1130.0,46.96
FC Barcelona,LaLiga,26,25.0,95.5,1020.0,39.19
Liverpool FC,Premier League,25,26.6,91.8,993.5,39.74
Paris Saint-Germain,Ligue 1,24,23.8,97.1,923.5,38.48
Chelsea FC,Premier League,30,23.7,88.6,922.0,30.73
Bayern Munich,Bundesliga,26,27.7,94.3,859.0,33.04
Tottenham Hotspur,Premier League,30,25.5,84.7,836.1,27.87
Manchester United,Premier League,26,26.4,94.8,694.25,26.7
Inter Milan,Serie A,25,29.5,96.6,663.8,26.55
Bayer 04 Leverkusen,Bundesliga,26,26.8,92.8,644.05,24.77
Newcastle United,Premier League,27,28.7,95.0,635.0,23.52
Aston Villa,Premier League,24,27.7,93.6,627.5,26.15
Juventus FC,Serie A,27,25.5,88.6,623.2,23.08
Brighton & Hove Albion,Premier League,28,26.2,88.6,555.6,19.84
AC Milan,Serie A,26,26.3,92.2,523.5,20.13
Atlético de Madrid,LaLiga,23,29.3,96.0,515.8,22.43
RB Leipzig,Bundesliga,26,25.1,93.1,510.75,19.64
Sporting CP,Liga Portugal,26,24.5,94.2,487.5,18.75
Atalanta BC,Serie A,26,27.7,93.2,478.6,18.41
West Ham United,Premier League,27,28.5,92.0,454.3,16.83
Nottingham Forest,Premier League,24,27.2,93.7,447.18,18.63
Crystal Palace,Premier League,27,26.1,93.9,441.0,16.33
Borussia Dortmund,Bundesliga,28,25.2,93.0,436.4,15.59
AFC Bournemouth,Premier League,25,24.9,94.0,435.35,17.41
Brentford FC,Premier League,26,25.4,89.5,417.1,16.04
Wolverhampton Wanderers,Premier League,31,26.4,87.1,408.8,13.19
AS Monaco,Ligue 1,26,24.4,86.4,399.2,15.35
Real Sociedad,LaLiga,26,25.4,94.7,383.8,14.76
Athletic Bilbao,LaLiga,24,27.3,96.9,367.0,15.29
Everton FC,Premier League,25,28.0,92.8,365.1,14.6
SL Benfica,Liga Portugal,27,25.4,92.7,362.5,13.43
Fulham FC,Premier League,25,28.3,92.8,362.0,14.48
SSC Napoli,Serie A,25,28.0,95.3,355.55,14.22
VfB Stuttgart,Bundesliga,32,24.5,88.1,330.23,10.32
PSV Eindhoven,Eredivisie,27,25.9,93.2,327.25,12.12
Eintracht Frankfurt,Bundesliga,27,25.4,89.0,323.05,11.96
LOSC Lille,Ligue 1,26,27.3,93.4,318.35,12.24
FC Porto,Liga Portugal,26,25.3,93.2,312.7,12.03
AS Roma,Serie A,26,26.3,91.1,304.0,11.69
SS Lazio,Serie A,31,26.4,92.6,290.6,9.37
Bologna FC 1909,Serie A,28,26.3,89.4,286.3,10.23
Olympique Marseille,Ligue 1,27,26.6,89.9,285.3,10.57
ACF Fiorentina,Serie A,25,25.9,91.1,281.8,11.27
Feyenoord Rotterdam,Eredivisie,33,24.4,85.2,281.55,8.53
Ipswich Town,Premier League,29,26.9,91.4,279.6,9.64
Leicester City,Premier League,29,26.9,90.4,273.3,9.42
Galatasaray,SÃ¼per Lig,30,27.1,91.3,266.25,8.88
Southampton FC,Premier League,30,26.1,89.1,262.6,8.75
VfL Wolfsburg,Bundesliga,30,25.7,89.7,252.0,8.4
Sociedade Esportiva Palmeiras,Série A,31,25.9,91.1,238.75,7.7
Fenerbahce,SÃ¼per Lig,29,28.9,88.6,235.3,8.11
Olympique Lyon,Ligue 1,23,26.6,96.7,226.93,9.87
RC Strasbourg Alsace,Ligue 1,26,22.7,97.1,222.5,8.56
CR Flamengo,Série A,31,27.0,88.5,219.15,7.07
Villarreal CF,LaLiga,24,27.5,96.5,218.6,9.11
OGC Nice,Ligue 1,27,26.2,91.0,215.6,7.99
Valencia CF,LaLiga,26,25.9,94.2,214.9,8.27
Stade Rennais FC,Ligue 1,30,25.2,87.1,213.6,7.12
Ajax Amsterdam,Eredivisie,28,25.6,89.7,203.05,7.25
Burnley FC,Championship,30,25.9,86.9,195.8,6.53
Torino FC,Serie A,29,26.9,89.2,191.1,6.59
Leeds United,Championship,23,27.2,97.0,189.5,8.24
Club Brugge KV,Jupiler Pro League,26,24.4,91.8,186.2,7.16
Zenit St. Petersburg,Premier Liga,28,27.0,90.2,181.3,6.48
Girona FC,LaLiga,26,27.6,94.5,180.7,6.95
Al-Hilal SFC,Saudi Pro League,25,28.2,99.0,180.0,7.2
Como 1907,Serie A,32,26.6,89.5,176.05,5.5
Al-Nassr FC,Saudi Pro League,27,27.6,98.7,175.68,6.51
Sevilla FC,LaLiga,23,26.1,92.8,174.5,7.59
Real Betis BalompiÃ©,LaLiga,25,28.3,92.6,173.1,6.92
TSG 1899 Hoffenheim,Bundesliga,33,26.0,84.1,172.75,5.23
Al-Ahli SFC,Saudi Pro League,30,26.5,97.9,169.93,5.66
SC Freiburg,Bundesliga,27,27.4,93.9,165.85,6.14
Shakhtar Donetsk,Premier Liga,31,23.8,94.5,165.0,5.32
Genoa CFC,Serie A,29,26.5,90.3,157.35,5.43
Udinese Calcio,Serie A,30,26.0,87.4,154.5,5.15
Parma Calcio 1913,Serie A,31,24.8,86.7,153.3,4.95
1.FSV Mainz 05,Bundesliga,24,27.2,96.8,152.6,6.36
Red Bull Salzburg,Bundesliga,28,23.0,89.6,149.0,5.32
Borussia MÃ¶nchengladbach,Bundesliga,26,26.4,94.0,147.4,5.67
Sunderland AFC,Championship,28,23.9,94.7,141.98,5.07
KRC Genk,Jupiler Pro League,26,22.8,93.7,141.9,5.46
Botafogo de Futebol e Regatas,Série A,34,26.0,84.6,135.95,4.0
Sheffield United,Championship,29,25.1,91.9,134.6,4.64
Celtic FC,Premiership,25,27.3,96.5,130.15,5.21
RC Lens,Ligue 1,26,26.8,89.9,126.8,4.88
SV Werder Bremen,Bundesliga,27,26.6,90.4,126.15,4.67
UD Las Palmas,LaLiga,25,27.5,94.7,125.3,5.01
SC Braga,Liga Portugal,26,24.7,91.1,125.1,4.81
Spartak Moscow,Premier Liga,24,27.1,91.9,123.75,5.16
Sport Club Corinthians Paulista,Série A,32,26.6,88.2,123.25,3.85
Al-Ittihad Club,Saudi Pro League,27,27.5,98.0,120.43,4.46
FC Augsburg,Bundesliga,27,26.4,89.4,119.13,4.41
Besiktas JK,SÃ¼per Lig,30,26.6,92.0,117.9,3.93
Olympiacos Piraeus,Super League 1,26,26.4,90.3,117.45,4.52
Stade Brestois 29,Ligue 1,27,26.9,90.3,115.0,4.26
Middlesbrough FC,Championship,27,26.2,94.5,113.25,4.19
1.FC Union Berlin,Bundesliga,27,27.6,91.2,113.18,4.19
