player_name,age,club,nation,market_value_million_eur
Erling Haaland,24,Manchester City,Norway,200.0
Vinicius Junior,24,Real Madrid,Brazil,200.0
Lamine Yamal,17,FC Barcelona,Spain,180.0
Jude Bellingham,21,Real Madrid,England,180.0
Kylian MbappÃ©,26,Real Madrid,France,170.0
Bukayo Saka,23,Arsenal FC,England,150.0
Florian Wirtz,21,Bayer 04 Leverkusen,Germany,140.0
Jamal Musiala,22,Bayern Munich,Germany,140.0
Cole Palmer,22,Chelsea FC,England,130.0
Phil Foden,24,Manchester City,England,130.0
Federico Valverde,26,Real Madrid,Uruguay,130.0
Rodri,28,Manchester City,Spain,130.0
Pedri,22,FC Barcelona,Spain,120.0
Declan Rice,26,Arsenal FC,England,110.0
Rodrygo,24,Real Madrid,Brazil,100.0
Alexander Isak,25,Newcastle United,Sweden,100.0
Martin Ãdegaard,26,Arsenal FC,Norway,100.0
Lautaro MartÃ­nez,27,Inter Milan,Argentina,95.0
JuliÃ¡n Alvarez,25,AtlÃ©tico de Madrid,Argentina,90.0
Alexis Mac Allister,26,Liverpool FC,Argentina,90.0
Harry Kane,31,Bayern Munich,England,90.0
Luis DÃ­az,28,Liverpool FC,Colombia,85.0
MoisÃ©s Caicedo,23,Chelsea FC,Ecuador,80.0
Michael Olise,23,Bayern Munich,France,80.0
Bruno GuimarÃ£es,27,Newcastle United,Brazil,80.0
Khvicha Kvaratskhelia,24,Paris Saint-Germain,Georgia,80.0
William Saliba,24,Arsenal FC,France,80.0
Dominik Szoboszlai,24,Liverpool FC,Hungary,80.0
AurÃ©lien TchouamÃ©ni,25,Real Madrid,France,80.0
Raphinha,28,FC Barcelona,Brazil,80.0
Alessandro Bastoni,25,Inter Milan,Italy,80.0
NicolÃ² Barella,28,Inter Milan,Italy,80.0
Enzo FernÃ¡ndez,24,Chelsea FC,Argentina,75.0
Josko Gvardiol,23,Manchester City,Croatia,75.0
Omar Marmoush,26,Manchester City,Egypt,75.0
Gabriel MagalhÃ£es,27,Arsenal FC,Brazil,75.0
Rafael LeÃ£o,25,AC Milan,Portugal,75.0
Viktor GyÃ¶keres,26,Sporting CP,Sweden,75.0
