"club_name","club_comps","club_expend","club_arrivals","club_income","club_depart","club_balance"
"Chelsea FC","Premier League 22/23","€630.25m","35","€67.86m","27","€-562.39m"
"Chelsea FC","Premier League 23/24","€464.10m","39","€278.70m","32","€-185.40m"
"Paris Saint-Germain","Ligue 1 23/24","€454.50m","46","€207.50m","32","€-247.00m"
"Al-Hilal SFC","Saudi Pro League 23/24","€376.10m","28","€1.38m","22","€-374.73m"
"FC Barcelona","LaLiga 17/18","€375.10m","18","€232.50m","12","€-142.60m"
"Real Madrid","LaLiga 19/20","€361.30m","34","€136.80m","23","€-224.50m"
"Manchester City","Premier League 17/18","€317.50m","38","€91.35m","32","€-226.15m"
"FC Barcelona","LaLiga 19/20","€304.00m","30","€154.40m","23","€-149.60m"
"Brighton & Hove Albion","Premier League 24/25","€279.95m","32","€49.99m","25","€-229.96m"
"Chelsea FC","Premier League 24/25","€276.00m","45","€228.90m","33","€-47.10m"
"Tottenham Hotspur","Premier League 23/24","€272.10m","33","€120.70m","22","€-151.40m"
"Juventus FC","Serie A 18/19","€265.30m","54","€112.54m","36","€-152.76m"
"Paris Saint-Germain","Ligue 1 18/19","€262.00m","26","€114.75m","18","€-147.25m"
"Chelsea FC","Premier League 17/18","€260.50m","47","€194.60m","31","€-65.90m"
"Manchester City","Premier League 23/24","€259.60m","24","€138.80m","21","€-120.80m"
"Atlético de Madrid","LaLiga 19/20","€247.35m","24","€316.30m","20","€68.95m"
"Chelsea FC","Premier League 20/21","€247.20m","43","€57.15m","26","€-190.05m"
"Manchester United","Premier League 24/25","€246.30m","22","€103.00m","19","€-143.30m"
"Manchester United","Premier League 22/23","€243.28m","27","€23.65m","22","€-219.63m"
"Manchester City","Premier League 24/25","€243.00m","21","€141.00m","13","€-102.00m"
"Paris Saint-Germain","Ligue 1 24/25","€239.92m","30","€130.10m","26","€-109.82m"
"Paris Saint-Germain","Ligue 1 17/18","€238.00m","18","€98.40m","15","€-139.60m"
"Manchester United","Premier League 19/20","€236.80m","16","€81.18m","12","€-155.62m"
"Juventus FC","Serie A 19/20","€236.21m","29","€208.14m","24","€-28.07m"
"Arsenal FC","Premier League 23/24","€235.10m","17","€69.20m","17","€-165.90m"
"Manchester City","Premier League 16/17","€216.25m","42","€35.35m","25","€-180.90m"
"Aston Villa","Premier League 24/25","€214.20m","31","€257.17m","28","€42.97m"
"SSC Napoli","Serie A 19/20","€210.02m","72","€48.72m","43","€-161.30m"
"Chelsea FC","Premier League 18/19","€208.80m","41","€83.25m","33","€-125.55m"
"Manchester City","Premier League 15/16","€208.47m","29","€67.44m","25","€-141.03m"
"Manchester United","Premier League 23/24","€203.30m","22","€58.34m","25","€-144.96m"
"Everton FC","Premier League 17/18","€203.20m","27","€126.38m","20","€-76.82m"
"Juventus FC","Serie A 16/17","€202.23m","122","€176.93m","84","€-25.30m"
"AS Monaco","Ligue 1 19/20","€200.00m","53","€83.75m","42","€-116.25m"
"Manchester United","Premier League 17/18","€198.40m","13","€45.50m","10","€-152.90m"
"Nottingham Forest","Premier League 22/23","€198.35m","48","€5.00m","29","€-193.35m"
"West Ham United","Premier League 22/23","€196.60m","14","€21.55m","13","€-175.05m"
"Manchester United","Premier League 14/15","€195.35m","29","€46.70m","27","€-148.65m"
"AC Milan","Serie A 18/19","€194.64m","36","€88.10m","30","€-106.54m"
"Juventus FC","Serie A 24/25","€193.30m","38","€105.90m","33","€-87.40m"
"Inter Milan","Serie A 19/20","€192.02m","72","€66.74m","52","€-125.28m"
"Sevilla FC","LaLiga 19/20","€188.73m","41","€131.40m","34","€-57.33m"
"Bayern Munich","Bundesliga 23/24","€187.50m","23","€175.42m","19","€-12.08m"
"AC Milan","Serie A 17/18","€186.48m","44","€39.70m","36","€-146.78m"
"Arsenal FC","Premier League 22/23","€186.40m","32","€23.80m","18","€-162.60m"
"Atlético de Madrid","LaLiga 24/25","€185.00m","22","€93.90m","22","€-91.10m"
"Newcastle United","Premier League 22/23","€185.00m","17","€14.06m","12","€-170.94m"
"Manchester United","Premier League 16/17","€185.00m","10","€47.25m","13","€-137.75m"
"Al-Ahli SFC","Saudi Pro League 23/24","€184.10m","37","€1.74m","30","€-182.35m"
"Liverpool FC","Premier League 18/19","€182.20m","22","€41.32m","21","€-140.88m"
"Juventus FC","Serie A 17/18","€181.50m","98","€145.65m","72","€-35.85m"
"Tottenham Hotspur","Premier League 22/23","€179.90m","23","€38.75m","18","€-141.15m"
"Wolverhampton Wanderers","Premier League 22/23","€179.51m","37","€62.87m","29","€-116.64m"
"RB Leipzig","Bundesliga 23/24","€179.50m","32","€243.70m","27","€64.20m"
"Tottenham Hotspur","Premier League 24/25","€175.35m","23","€55.30m","20","€-120.05m"
"Al-Nassr FC","Saudi Pro League 24/25","€175.35m","33","€20.12m","28","€-155.23m"
"Liverpool FC","Premier League 17/18","€173.65m","16","€184.50m","15","€10.85m"
"Manchester City","Premier League 20/21","€173.40m","39","€64.00m","27","€-109.40m"
"Liverpool FC","Premier League 23/24","€172.00m","19","€60.70m","18","€-111.30m"
"Manchester City","Premier League 19/20","€169.82m","38","€71.00m","26","€-98.82m"
"Atlético de Madrid","LaLiga 18/19","€168.00m","29","€57.90m","19","€-110.10m"
"Arsenal FC","Premier League 21/22","€167.40m","22","€31.40m","20","€-136.00m"
"FC Barcelona","LaLiga 14/15","€166.72m","16","€81.80m","15","€-84.92m"
"AS Roma","Serie A 18/19","€166.35m","66","€150.47m","47","€-15.88m"
