"club_row_name_club","club_row_name_league","club_row_name_squad","club_row_name_avg_age","club_row_name_MV","club_row_name_avg_p_mv","club_row_name_share_mv"
"Manchester City","Premier League","28","26.7","€1.31bn","€46.61m","85.7 %"
"Real Madrid","LaLiga","24","27.0","€1.27bn","€53.00m","97.6 %"
"Arsenal FC","Premier League","24","26.8","€1.13bn","€46.96m","91.8 %"
"FC Barcelona","LaLiga","26","25.0","€1.02bn","€39.19m","95.5 %"
"Liverpool FC","Premier League","25","26.6","€993.50m","€39.74m","91.8 %"
"Paris Saint-Germain","Ligue 1","24","23.8","€923.50m","€38.48m","97.1 %"
"Chelsea FC","Premier League","30","23.7","€922.00m","€30.73m","88.6 %"
"Bayern Munich","Bundesliga","26","27.7","€859.00m","€33.04m","94.3 %"
"Tottenham Hotspur","Premier League","30","25.5","€836.10m","€27.87m","84.7 %"
"Manchester United","Premier League","26","26.4","€694.25m","€26.70m","94.8 %"
"Inter Milan","Serie A","25","29.5","€663.80m","€26.55m","96.6 %"
"Bayer 04 Leverkusen","Bundesliga","26","26.8","€644.05m","€24.77m","92.8 %"
"Newcastle United","Premier League","27","28.7","€635.00m","€23.52m","95.0 %"
"Aston Villa","Premier League","24","27.7","€627.50m","€26.15m","93.6 %"
"Juventus FC","Serie A","27","25.5","€623.20m","€23.08m","88.6 %"
"Brighton & Hove Albion","Premier League","28","26.2","€555.60m","€19.84m","88.6 %"
"AC Milan","Serie A","26","26.3","€523.50m","€20.13m","92.2 %"
"Atlético de Madrid","LaLiga","23","29.3","€515.80m","€22.43m","96.0 %"
"RB Leipzig","Bundesliga","26","25.1","€510.75m","€19.64m","93.1 %"
"Sporting CP","Liga Portugal","26","24.5","€487.50m","€18.75m","94.2 %"
"Atalanta BC","Serie A","26","27.7","€478.60m","€18.41m","93.2 %"
"West Ham United","Premier League","27","28.5","€454.30m","€16.83m","92.0 %"
"Nottingham Forest","Premier League","24","27.2","€447.18m","€18.63m","93.7 %"
