"player_row_player_name","player_row_player_age","player_row_player_club","player_row_player_market_value","player_row_player_nation"
"Erling Haaland","24","Manchester City","€200.00m","Norway"
"Vinicius Junior","24","Real Madrid","€200.00m","Brazil"
"Lamine Yamal","17","FC Barcelona","€180.00m","Spain"
"Jude Bellingham","21","Real Madrid","€180.00m","England"
"Kylian Mbappé","26","Real Madrid","€170.00m","France"
"Bukayo Saka","23","Arsenal FC","€150.00m","England"
"Florian Wirtz","21","Bayer 04 Leverkusen","€140.00m","Germany"
"Jamal Musiala","22","Bayern Munich","€140.00m","Germany"
"Cole Palmer","22","Chelsea FC","€130.00m","England"
"Phil Foden","24","Manchester City","€130.00m","England"
"Federico Valverde","26","Real Madrid","€130.00m","Uruguay"
"Rodri","28","Manchester City","€130.00m","Spain"
"Pedri","22","FC Barcelona","€120.00m","Spain"
"Declan Rice","26","Arsenal FC","€110.00m","England"
"Rodrygo","24","Real Madrid","€100.00m","Brazil"
"Alexander Isak","25","Newcastle United","€100.00m","Sweden"
"Martin Ødegaard","26","Arsenal FC","€100.00m","Norway"
"Lautaro Martínez","27","Inter Milan","€95.00m","Argentina"
"Julián Alvarez","25","Atlético de Madrid","€90.00m","Argentina"
"Alexis Mac Allister","26","Liverpool FC","€90.00m","Argentina"
"Harry Kane","31","Bayern Munich","€90.00m","England"
"Luis Díaz","28","Liverpool FC","€85.00m","Colombia"
"Moisés Caicedo","23","Chelsea FC","€80.00m","Ecuador"
"Michael Olise","23","Bayern Munich","€80.00m","France"
"Bruno Guimarães","27","Newcastle United","€80.00m","Brazil"
"Khvicha Kvaratskhelia","24","Paris Saint-Germain","€80.00m","Georgia"
"William Saliba","24","Arsenal FC","€80.00m","France"
"Dominik Szoboszlai","24","Liverpool FC","€80.00m","Hungary"
"Aurélien Tchouaméni","25","Real Madrid","€80.00m","France"
"Raphinha","28","FC Barcelona","€80.00m","Brazil"
"Alessandro Bastoni","25","Inter Milan","€80.00m","Italy"
"Nicolò Barella","28","Inter Milan","€80.00m","Italy"
"Enzo Fernández","24","Chelsea FC","€75.00m","Argentina"
"Josko Gvardiol","23","Manchester City","€75.00m","Croatia"
"Omar Marmoush","26","Manchester City","€75.00m","Egypt"
"Gabriel Magalhães","27","Arsenal FC","€75.00m","Brazil"
"Rafael Leão","25","AC Milan","€75.00m","Portugal"
"Viktor Gyökeres","26","Sporting CP","€75.00m","Sweden"
"Marcus Thuram","27","Inter Milan","€75.00m","France"
"Trent Alexander-Arnold","26","Liverpool FC","€75.00m","England"
"Ousmane Dembélé","27","Paris Saint-Germain","€75.00m","France"
"Pau Cubarsí","18","FC Barcelona","€70.00m","Spain"
"Nico Williams","22","Athletic Bilbao","€70.00m","Spain"
"Bradley Barcola","22","Paris Saint-Germain","€70.00m","France"
"Gavi","20","FC Barcelona","€70.00m","Spain"
"Eduardo Camavinga","22","Real Madrid","€70.00m","France"
"Xavi Simons","21","RB Leipzig","€70.00m","Netherlands"
"Ryan Gravenberch","22","Liverpool FC","€70.00m","Netherlands"
"Cody Gakpo","25","Liverpool FC","€70.00m","Netherlands"
"Victor Osimhen","26","Galatasaray","€70.00m","Nigeria"
"Kai Havertz","25","Arsenal FC","€70.00m","Germany"
"Rúben Dias","27","Manchester City","€70.00m","Portugal"
"João Neves","20","Paris Saint-Germain","€65.00m","Portugal"
"Benjamin Sesko","21","RB Leipzig","€65.00m","Slovenia"
"Anthony Gordon","24","Newcastle United","€65.00m","England"
"Achraf Hakimi","26","Paris Saint-Germain","€65.00m","Morocco"
"Désiré Doué","19","Paris Saint-Germain","€60.00m","France"
"Warren Zaïre-Emery","19","Paris Saint-Germain","€60.00m","France"
"Alejandro Balde","21","FC Barcelona","€60.00m","Spain"
"Oihan Sancet","24","Athletic Bilbao","€60.00m","Spain"
"Vitinha","25","Paris Saint-Germain","€60.00m","Portugal"
"Dejan Kulusevski","24","Tottenham Hotspur","€60.00m","Sweden"
"Martín Zubimendi","26","Real Sociedad","€60.00m","Spain"
"Jules Koundé","26","FC Barcelona","€60.00m","France"
"Ademola Lookman","27","Atalanta BC","€60.00m","Nigeria"
"Loïs Openda","25","RB Leipzig","€60.00m","Belgium"
