club_femini_name,club_femini_revenue,club
FC Barcelona Femení,17.9,FC Barcelona
Arsenal Women,17.9,Arsenal FC
Cheslea Women,13.4,Cheslea FC
Manchester United Women,10.7,Manchester United
Real Madrid Femenino,10.5,Real Madrid
Manchester City Women,7.9,Manchester City
Aston Villa Women,6.3,Aston Villa
Eintracht Frankfurt Frauen,6,Eintracht Frankfurt
Liverpool Women,5.7,Liverpool FC
Paris Saint-Germain Féminine*,4.6,Paris Saint-Germain
Tottenham Hotspur Women,3.9,Tottenham Hotspur
Everton Women,3.7,Everton FC
FC Bayern Frauen,3.6,Bayern Munich
SL Benfica Feminino,2.4,SL Benfica
SK Brann Kvinner,2.1,SK Brann
